Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;SF#5 name;SF#5 valid values;SF#5 mean;SF#5 std.dev.;SF#5 sum;SF#6 name;SF#6 valid values;SF#6 mean;SF#6 std.dev.;SF#6 sum;SF#7 name;SF#7 valid values;SF#7 mean;SF#7 std.dev.;SF#7 sum;SF#8 name;SF#8 valid values;SF#8 mean;SF#8 std.dev.;SF#8 sum;SF#9 name;SF#9 valid values;SF#9 mean;SF#9 std.dev.;SF#9 sum;SF#10 name;SF#10 valid values;SF#10 mean;SF#10 std.dev.;SF#10 sum;SF#11 name;SF#11 valid values;SF#11 mean;SF#11 std.dev.;SF#11 sum;SF#12 name;SF#12 valid values;SF#12 mean;SF#12 std.dev.;SF#12 sum;SF#13 name;SF#13 valid values;SF#13 mean;SF#13 std.dev.;SF#13 sum;SF#14 name;SF#14 valid values;SF#14 mean;SF#14 std.dev.;SF#14 sum;
Vertical_M3C2 - Cloud_CC#55;24;3174.04;1717.31;380.313;M3C2 distance;20;1.07637;0.823628;21.5275;distance uncertainty;2;0.899396;0.0104745;1.79879;significant change;24;0.0833333;0.276385;2;STD_cloud2;24;0.987643;0.230402;23.7034;STD_cloud1;20;0.28631;0.351818;5.72619;Npoints_cloud2;24;26.25;4.93499;630;Npoints_cloud1;24;2.04167;1.59372;49;Npoints cloud1 3D;24;10;3.01386;240;Npoints cloud2 3D;24;105.083;25.713;2522;STD cloud1 3D;24;0.573886;0.290482;13.7733;STD cloud2 3D;24;1.10436;0.37363;26.5047;significant change 3D;24;1;0;24;distance uncertainty 3D;24;0.751314;0.146701;18.0315;M3C2 distance 3D;24;1.18187;0.378313;28.3649;
Vertical_M3C2 - Cloud_CC#60;41;3153.21;1601.55;382.221;M3C2 distance;41;0.656856;0.172243;26.9311;distance uncertainty;41;0.607658;0.020829;24.914;significant change;41;0.585366;0.492659;24;STD_cloud2;41;0.92431;0.127614;37.8967;STD_cloud1;41;0.94684;0.0715797;38.8204;Npoints_cloud2;41;261.341;19.1561;10715;Npoints_cloud1;41;55.2927;4.93985;2267;Npoints cloud1 3D;41;44.2195;4.41457;1813;Npoints cloud2 3D;41;210.049;21.9322;8612;STD cloud1 3D;41;0.165587;0.0342746;6.78907;STD cloud2 3D;41;0.112605;0.0229702;4.61681;significant change 3D;41;1;0;41;distance uncertainty 3D;41;0.384753;0.0105901;15.7749;M3C2 distance 3D;41;0.558087;0.105745;22.8816;
Vertical_M3C2 - Cloud_CC#62;95;2865.92;1326.57;389.725;M3C2 distance;95;0.554616;0.206394;52.6885;distance uncertainty;95;0.636667;0.044145;60.4834;significant change;95;0.378947;0.485125;36;STD_cloud2;95;1.01945;0.0753757;96.8477;STD_cloud1;95;1.0134;0.154288;96.2727;Npoints_cloud2;95;290.221;56.1697;27571;Npoints_cloud1;95;51.2316;5.04809;4867;Npoints cloud1 3D;95;39.6421;5.23131;3766;Npoints cloud2 3D;95;226.726;50.3724;21539;STD cloud1 3D;95;0.141631;0.0380171;13.455;STD cloud2 3D;95;0.0659984;0.0160871;6.26985;significant change 3D;95;1;0;95;distance uncertainty 3D;95;0.37869;0.0130547;35.9755;M3C2 distance 3D;95;0.479114;0.0654053;45.5158;
Vertical_M3C2 - Cloud_CC#68;33;3307.22;1862.74;383.434;M3C2 distance;31;0.646913;0.15209;20.0543;distance uncertainty;20;0.542522;0.109459;10.8504;significant change;33;0.545455;0.49793;18;STD_cloud2;33;0.2239;0.17574;7.3887;STD_cloud1;31;0.207744;0.146082;6.44008;Npoints_cloud2;33;61.0303;16.4141;2014;Npoints_cloud1;33;5.78788;3.44443;191;Npoints cloud1 3D;33;13.4545;8.18013;444;Npoints cloud2 3D;33;140.667;89.0161;4642;STD cloud1 3D;33;0.254411;0.0854936;8.39558;STD cloud2 3D;33;0.243193;0.137997;8.02535;significant change 3D;33;1;0;33;distance uncertainty 3D;33;0.482501;0.0323783;15.9225;M3C2 distance 3D;33;0.586848;0.0698673;19.366;
Vertical_M3C2 - Cloud_CC#72;30;2816.75;1344.48;386.219;M3C2 distance;30;0.33206;0.804082;9.9618;distance uncertainty;11;1.04297;0.642061;11.4727;significant change;30;0.133333;0.339935;4;STD_cloud2;30;0.766342;0.439434;22.9903;STD_cloud1;30;0.649112;0.688866;19.4734;Npoints_cloud2;30;93.6667;57.0768;2810;Npoints_cloud1;30;6.2;7.82049;186;Npoints cloud1 3D;30;23.9667;15.0831;719;Npoints cloud2 3D;30;266.3;144.961;7989;STD cloud1 3D;30;0.950785;0.495212;28.5236;STD cloud2 3D;30;0.962647;0.501247;28.8794;significant change 3D;30;1;0;30;distance uncertainty 3D;30;0.758173;0.175892;22.7452;M3C2 distance 3D;30;1.19391;0.446752;35.8172;
Vertical_M3C2 - Cloud_CC#80;58;3546.99;1962.95;388.018;M3C2 distance;58;0.699355;0.28774;40.5626;distance uncertainty;58;0.712523;0.135059;41.3263;significant change;58;0.517241;0.499703;30;STD_cloud2;58;1.16557;0.354801;67.603;STD_cloud1;58;1.1512;0.448241;66.7696;Npoints_cloud2;58;261.948;17.9111;15193;Npoints_cloud1;58;41.6379;5.96165;2415;Npoints cloud1 3D;58;30.8103;5.98405;1787;Npoints cloud2 3D;58;198.293;38.7009;11501;STD cloud1 3D;58;0.259225;0.0898454;15.035;STD cloud2 3D;58;0.235183;0.0922457;13.6406;significant change 3D;58;1;0;58;distance uncertainty 3D;58;0.43266;0.0375295;25.0943;M3C2 distance 3D;58;0.566555;0.153;32.8602;
Vertical_M3C2 - Cloud_CC#81;82;3562.15;1967.37;387.638;M3C2 distance;82;0.955527;0.52614;78.3532;distance uncertainty;77;0.693155;0.147147;53.3729;significant change;82;0.646341;0.478105;53;STD_cloud2;82;0.964789;0.217518;79.1127;STD_cloud1;82;1.02248;0.558333;83.8433;Npoints_cloud2;82;232.537;35.786;19068;Npoints_cloud1;82;34.3659;14.9679;2818;Npoints cloud1 3D;82;29.878;12.6089;2450;Npoints cloud2 3D;82;213.707;98.6945;17524;STD cloud1 3D;82;0.404071;0.142059;33.1338;STD cloud2 3D;82;0.174553;0.0789881;14.3134;significant change 3D;82;1;0;82;distance uncertainty 3D;82;0.487102;0.0469348;39.9424;M3C2 distance 3D;82;0.950514;0.328867;77.9422;
Vertical_M3C2 - Cloud_CC#94;120;3510.84;2071.86;391.516;M3C2 distance;101;1.14245;1.19009;115.387;distance uncertainty;90;0.631888;0.299864;56.8699;significant change;120;0.583333;0.493007;70;STD_cloud2;120;1.16332;0.879705;139.599;STD_cloud1;101;0.659573;0.605836;66.6168;Npoints_cloud2;120;169.95;62.7458;20394;Npoints_cloud1;120;26.7417;18.7343;3209;Npoints cloud1 3D;120;47.7083;32.4603;5725;Npoints cloud2 3D;120;322.742;229.055;38729;STD cloud1 3D;120;0.9627;1.19848;115.524;STD cloud2 3D;120;1.072;1.35894;128.64;significant change 3D;120;1;0;120;distance uncertainty 3D;120;0.595578;0.243342;71.4694;M3C2 distance 3D;120;1.09435;0.766038;131.322;
Vertical_M3C2 - Cloud_CC#96;2076;2805.63;1285.21;414.64;M3C2 distance;1994;1.15568;0.823921;2304.43;distance uncertainty;1923;0.69987;0.167658;1345.85;significant change;2076;0.64499;0.478516;1339;STD_cloud2;2076;1.06562;0.260217;2212.23;STD_cloud1;1994;1.04131;0.388902;2076.36;Npoints_cloud2;2076;197.67;54.8804;410362;Npoints_cloud1;2076;43.7312;22.0892;90786;Npoints cloud1 3D;2076;37.6932;19.157;78251;Npoints cloud2 3D;2076;195.575;131.474;406014;STD cloud1 3D;2076;0.350288;0.470281;727.198;STD cloud2 3D;2076;0.253071;0.437977;525.376;significant change 3D;2076;1;0;2076;distance uncertainty 3D;2076;0.456271;0.129535;947.218;M3C2 distance 3D;2076;1.0358;1.2495;2150.33;
Vertical_M3C2 - Cloud_CC#105;22;3366.22;1603.49;389.602;M3C2 distance;22;0.574987;0.116599;12.6497;distance uncertainty;22;0.736668;0.0524356;16.2067;significant change;22;0;0;0;STD_cloud2;22;0.861707;0.0449476;18.9576;STD_cloud1;22;0.893789;0.144396;19.6634;Npoints_cloud2;22;256.091;7.14085;5634;Npoints_cloud1;22;20.1818;1.72248;444;Npoints cloud1 3D;22;16.5455;1.4374;364;Npoints cloud2 3D;22;211.818;7.37709;4660;STD cloud1 3D;22;0.148259;0.0408621;3.26169;STD cloud2 3D;22;0.0928036;0.0177842;2.04168;significant change 3D;22;1;0;22;distance uncertainty 3D;22;0.405876;0.0190505;8.92928;M3C2 distance 3D;22;0.507345;0.0655;11.1616;
Vertical_M3C2 - Cloud_CC#109;20;3489.73;1889.8;391.572;M3C2 distance;20;0.881016;0.494229;17.6203;distance uncertainty;19;0.992186;0.0696881;18.8515;significant change;20;0.4;0.489898;8;STD_cloud2;20;1.36573;0.341743;27.3147;STD_cloud1;20;1.36851;0.278836;27.3702;Npoints_cloud2;20;93.3;30.386;1866;Npoints_cloud1;20;21.65;10.4655;433;Npoints cloud1 3D;20;18.55;10.3898;371;Npoints cloud2 3D;20;79.7;36.7819;1594;STD cloud1 3D;20;0.281701;0.260597;5.63402;STD cloud2 3D;20;0.322076;0.246994;6.44153;significant change 3D;20;1;0;20;distance uncertainty 3D;20;0.474377;0.0731944;9.48754;M3C2 distance 3D;20;0.562562;0.120728;11.2512;
