Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;SF#5 name;SF#5 valid values;SF#5 mean;SF#5 std.dev.;SF#5 sum;SF#6 name;SF#6 valid values;SF#6 mean;SF#6 std.dev.;SF#6 sum;SF#7 name;SF#7 valid values;SF#7 mean;SF#7 std.dev.;SF#7 sum;SF#8 name;SF#8 valid values;SF#8 mean;SF#8 std.dev.;SF#8 sum;SF#9 name;SF#9 valid values;SF#9 mean;SF#9 std.dev.;SF#9 sum;SF#10 name;SF#10 valid values;SF#10 mean;SF#10 std.dev.;SF#10 sum;SF#11 name;SF#11 valid values;SF#11 mean;SF#11 std.dev.;SF#11 sum;SF#12 name;SF#12 valid values;SF#12 mean;SF#12 std.dev.;SF#12 sum;SF#13 name;SF#13 valid values;SF#13 mean;SF#13 std.dev.;SF#13 sum;SF#14 name;SF#14 valid values;SF#14 mean;SF#14 std.dev.;SF#14 sum;
Vertical_M3C2 - Cloud_CC#66;25;3077.58;1430.51;381.031;M3C2 distance;17;-0.0448041;0.420555;-0.76167;distance uncertainty;2;0.70451;0.0963406;1.40902;significant change;25;0.04;0.195959;1;STD_cloud2;25;0.513672;0.0723072;12.8418;STD_cloud1;17;0.164358;0.157985;2.79408;Npoints_cloud2;25;62.76;20.4358;1569;Npoints_cloud1;25;1.6;1.6;40;Npoints cloud1 3D;25;7.64;1.57175;191;Npoints cloud2 3D;25;208.76;39.3083;5219;STD cloud1 3D;25;0.222084;0.0567783;5.55209;STD cloud2 3D;25;0.116712;0.0189515;2.91779;significant change 3D;25;1;0;25;distance uncertainty 3D;25;0.495725;0.0465737;12.3931;M3C2 distance 3D;25;-0.544545;0.0719961;-13.6136;
Vertical_M3C2 - Cloud_CC#77;30;3112.48;1457.32;381.365;M3C2 distance;18;-0.287762;1.03393;-5.17972;distance uncertainty;3;0.647308;0.0129312;1.94192;significant change;30;0;0;0;STD_cloud2;30;0.627632;0.111385;18.829;STD_cloud1;18;0.115544;0.144989;2.07979;Npoints_cloud2;30;44.8;13.1057;1344;Npoints_cloud1;30;1.83333;2.1769;55;Npoints cloud1 3D;30;11.5667;7.42825;347;Npoints cloud2 3D;30;161.8;51.6149;4854;STD cloud1 3D;30;0.174924;0.116662;5.24772;STD cloud2 3D;30;0.218755;0.0768674;6.56264;significant change 3D;30;1;0;30;distance uncertainty 3D;30;0.451417;0.0784168;13.5425;M3C2 distance 3D;30;-0.54365;0.135399;-16.3095;
Vertical_M3C2 - Cloud_CC#78;343;2684.85;1484.19;397.378;M3C2 distance;343;-1.43144;1.29866;-490.984;distance uncertainty;290;1.05805;0.420405;306.833;significant change;343;0.539359;0.498448;185;STD_cloud2;343;1.34202;0.630061;460.314;STD_cloud1;343;1.08802;0.682212;373.192;Npoints_cloud2;343;85.2216;42.0507;29231;Npoints_cloud1;343;17.5598;15.4937;6023;Npoints cloud1 3D;343;19.172;14.1573;6576;Npoints cloud2 3D;343;119.335;100.719;40932;STD cloud1 3D;343;0.320063;0.242896;109.782;STD cloud2 3D;343;0.360332;0.92879;123.594;significant change 3D;343;1;0;343;distance uncertainty 3D;343;0.516671;0.149465;177.218;M3C2 distance 3D;343;-1.21835;2.99694;-417.895;
Vertical_M3C2 - Cloud_CC#79;45;2667.4;1469.88;383.479;M3C2 distance;38;-0.796653;1.50434;-30.2728;distance uncertainty;10;0.662888;0.0919276;6.62888;significant change;45;0.2;0.4;9;STD_cloud2;45;0.895536;0.238747;40.2991;STD_cloud1;38;0.249713;0.350833;9.48911;Npoints_cloud2;45;134.956;18.4041;6073;Npoints_cloud1;45;5.28889;8.51305;238;Npoints cloud1 3D;45;28.6667;17.6093;1290;Npoints cloud2 3D;45;440.689;182.841;19831;STD cloud1 3D;45;0.518898;0.268753;23.3504;STD cloud2 3D;45;0.657642;0.391136;29.5939;significant change 3D;45;1;0;45;distance uncertainty 3D;45;0.532576;0.0550634;23.9659;M3C2 distance 3D;45;-0.822082;0.242129;-36.9937;
Vertical_M3C2 - Cloud_CC#85;23;3296.54;1624.83;383.002;M3C2 distance;23;-0.682369;0.883095;-15.6945;distance uncertainty;6;1.32923;0.229405;7.9754;significant change;23;0.0869565;0.281771;2;STD_cloud2;23;1.48475;0.340849;34.1493;STD_cloud1;23;0.777693;0.563702;17.8869;Npoints_cloud2;23;89.6522;23.5014;2062;Npoints_cloud1;23;4.21739;3.34867;97;Npoints cloud1 3D;23;10.3913;2.77785;239;Npoints cloud2 3D;23;206.13;100.061;4741;STD cloud1 3D;23;0.35477;0.123567;8.15972;STD cloud2 3D;23;0.245875;0.0481084;5.65513;significant change 3D;23;1;0;23;distance uncertainty 3D;23;0.554871;0.0721692;12.762;M3C2 distance 3D;23;-0.763461;0.159896;-17.5596;
Vertical_M3C2 - Cloud_CC#89;265;3207.52;1748.56;387.02;M3C2 distance;216;-5.36608;1.90954;-1159.07;distance uncertainty;70;1.38461;0.606654;96.9229;significant change;265;0.237736;0.425697;63;STD_cloud2;265;0.943082;0.234053;249.917;STD_cloud1;216;0.699199;0.997867;151.027;Npoints_cloud2;265;31.9019;13.1021;8454;Npoints_cloud1;265;3.50943;3.92487;930;Npoints cloud1 3D;265;9.01887;5.79033;2390;Npoints cloud2 3D;265;88.6491;47.5316;23492;STD cloud1 3D;265;0.829806;0.686543;219.899;STD cloud2 3D;265;0.275383;0.115563;72.9765;significant change 3D;265;1;0;265;distance uncertainty 3D;265;0.875409;0.390666;231.983;M3C2 distance 3D;265;-4.2377;1.48781;-1122.99;
Vertical_M3C2 - Cloud_CC#90;229;3307.65;1774.12;390.383;M3C2 distance;228;-1.33828;1.15269;-305.127;distance uncertainty;201;1.15291;0.250321;231.735;significant change;229;0.454148;0.497893;104;STD_cloud2;229;1.27806;0.372901;292.675;STD_cloud1;228;1.01438;0.553446;231.279;Npoints_cloud2;229;19.8428;8.13648;4544;Npoints_cloud1;229;13.0873;8.28906;2997;Npoints cloud1 3D;229;14.4148;8.73071;3301;Npoints cloud2 3D;229;25.5502;21.5442;5851;STD cloud1 3D;229;0.324072;0.216578;74.2125;STD cloud2 3D;229;0.22783;0.125011;52.173;significant change 3D;229;1;0;229;distance uncertainty 3D;229;0.545245;0.0929051;124.861;M3C2 distance 3D;229;-1.05936;0.321318;-242.594;
Vertical_M3C2 - Cloud_CC#99;319;2644.5;1485.29;386.394;M3C2 distance;319;-1.94083;1.10596;-619.126;distance uncertainty;319;0.626489;0.0849427;199.85;significant change;319;0.896552;0.304543;286;STD_cloud2;319;0.96599;0.619617;308.151;STD_cloud1;319;0.994665;0.202771;317.298;Npoints_cloud2;319;168.138;105.293;53636;Npoints_cloud1;319;81.7429;17.1269;26076;Npoints cloud1 3D;319;68.5674;13.6949;21873;Npoints cloud2 3D;319;141.903;109.243;45267;STD cloud1 3D;319;0.467442;0.22101;149.114;STD cloud2 3D;319;0.188831;0.0965667;60.2372;significant change 3D;319;1;0;319;distance uncertainty 3D;319;0.453837;0.0464024;144.774;M3C2 distance 3D;319;-1.5719;0.79781;-501.437;
Vertical_M3C2 - Cloud_CC#104;3208;3407.41;1671.28;401.511;M3C2 distance;3138;-2.1055;1.12139;-6607.07;distance uncertainty;2336;0.869384;0.27421;2030.88;significant change;3208;0.612219;0.487244;1964;STD_cloud2;3208;0.835092;0.366358;2678.97;STD_cloud1;3138;0.682565;0.400159;2141.89;Npoints_cloud2;3208;112.591;56.1307;361191;Npoints_cloud1;3208;7.35411;4.28961;23592;Npoints cloud1 3D;3208;11.3847;6.15585;36522;Npoints cloud2 3D;3208;182.913;157.514;586786;STD cloud1 3D;3208;0.379688;0.244846;1218.04;STD cloud2 3D;3208;0.183043;0.10908;587.202;significant change 3D;3208;1;0;3208;distance uncertainty 3D;3208;0.565737;0.13698;1814.89;M3C2 distance 3D;3208;-1.82946;0.876747;-5868.92;
Vertical_M3C2 - Cloud_CC#106;164;3155.6;1731.19;388.912;M3C2 distance;127;-3.28876;1.85356;-417.672;distance uncertainty;45;0.93488;0.372074;42.0696;significant change;164;0.231707;0.421923;38;STD_cloud2;164;0.905435;0.326125;148.491;STD_cloud1;127;0.446943;0.364733;56.7618;Npoints_cloud2;164;22.6646;11.7095;3717;Npoints_cloud1;164;5.91463;10.2269;970;Npoints cloud1 3D;164;20.1707;17.7247;3308;Npoints cloud2 3D;164;86.1585;44.191;14130;STD cloud1 3D;164;0.856274;0.611203;140.429;STD cloud2 3D;164;0.960234;0.60266;157.478;significant change 3D;164;1;0;164;distance uncertainty 3D;164;0.835916;0.366495;137.09;M3C2 distance 3D;164;-2.63779;1.16853;-432.598;
